子,n n-suf
巻き込む,v5m vt
全身,n adj-no
踊る,v5r vi
僕,pn
異常,adj-na n
喜ぶ,v5b vt vi
赤,n adj-no
深い,adj-i
信用,n vs vt
不満,n adj-na
懐かしい,adj-i
六つ,num
お母さん,n
扱う,v5u vt
状態,n
君,suf
無し,n n-suf
続き,n
振る,suf v5r
来る,adj-pn
外,suf
興奮,n vs vi
思考,n vs vt vi adj-no
出る,v1 vi
くらい,suf prt
下げる,v1 vt
危険,n adj-na
主,n
責める,v1 vt
涙,n
行う,v5u vt
理解,n vs vt
振り向く,v5k
引く,v5k vt
男子,n
心臓,n
黙る,v5r vi
完成,n vs vt vi
思い,n
恥ずかしい,adj-i
現場,n
捲る,v5r vt
大きな,adj-pn
疑う,v5u vt
語る,v5r vt
効く,v5k vi
年齢,n
ため,n
動揺,n vs vi
見つける,v1 vt
頂く,v5k vt
早い,adj-i
一度,n adv
甘える,v1 vi
元,adj-no n-pref
優秀,adj-na n
地上,n adj-no
確信,n vs vt
沈む,v5m vi
別に,adv
戦争,n vs vi
期待,n vs vt vi
参る,v5r vi
楽,n adj-na
眠る,v5r vi
今朝,n adv
評価,n vs vt
もっと,adv
自信,n
山,n
爆発,n vs vi
軍,n
旅,n
文字,n
救う,v5u vt
計画,n vs vt
こんなに,adv
水,n
子,n
聞こえる,v1 vi
輝く,v5k vi
本物,n adj-no
戻る,v5r vi
不意に,adv
随分,adv adv-to
辛い,suf adj-i
店,n-suf
辛い,adj-i
技,n
今後,n adv
火,n
集める,v1 vt
地,n n-suf
気,suf
当たり前,adj-no adj-na n
余裕,n
鋭い,adj-i
助ける,v1 vt
冷静,n adj-na
種類,n
溢れる,v1 vi
入り口,n
音,n
生まれる,v1 vi
見下ろす,v5s vt
穴,n
本気,n adj-no adj-na
触れる,v1 vi
点ける,v1 vt
興味,n
慌てる,v1 vi
見上げる,v1 vt
風,adj-na n n-suf
敵,n-suf n
料理,n vs vt
酒,pref
パン,pref
取れる,v1 vi
ちゃんと,adv vs
特別,adj-na adj-no adv n
別,n
いい,adj-ix
向かう,v5u vi
普通,adj-no adj-na
完璧,adj-na n
増える,v1 vi
確実,adj-na n
分かる,v5r vi
夜,ctr
八,num
妹,n
優しい,adj-i
運命,n adj-no
辺り,n n-suf adv
不安,n adj-na
自覚,n vs vt
直後,n adv
下,suf
正しい,adj-i
辺り,n
見せる,v1 vt
黒,n adj-no
自分,pn
命,n
手紙,n
つい,adv
嫌う,v5u vt
当然,adj-no adj-na
肉体,n
硬い,adj-i
遠慮,n vs
歌う,v5u vt vi
傷つく,v5k vi
住む,v5m vi
村,n
石,ctr
現れる,v1 vi
準備,n vs vt
舐める,v1 vt
面白い,adj-i
土曜日,n adv
あんなに,adv
例えば,adv
春,n adv
回す,v5s vt
投げる,v1 vt
出来事,n
城,suf
至る,v5r vi
時,n
意志,n
骨,n
年,n
最も,adv
川,n
天井,n
仕事,n vs vi
毎年,adv n
単純,adj-na n
感情,n adj-no
悲鳴,n
庭,n
人,n
見る,v1 vt
挟む,v5m vt
結ぶ,v5b vt
伸びる,v1 vi
建物,n
駄目,adj-na n
複雑,adj-na n
中心,n adj-no
横,n
寄る,v5r vi
襲う,v5u vt
人々,n
漏れる,v1 vi
育てる,v1 vt
機会,n
本日,n adv
出かける,v1 vi
町,n
学ぶ,v5b vt
元気,adj-na n
掛かる,v5r vi
改めて,adv
取り戻す,v5s vt
そう,aux adj-na
他に,exp adv
経験,n vs vt
知る,v5r vt
訪れる,v1 vt
現状,n adj-no
馬鹿,n
暮らす,v5s vi
教える,v1 vt
食う,v5u vt
狭い,adj-i
戸惑う,v5u vi
差,n n-suf
暴れる,v1 vi
通り,n
精神,n
正解,n vs vt vi
誰か,pn
押す,v5s vt
友達,n
大丈夫,adj-na
お陰,n
元々,adv adj-no
尋ねる,v1 vt
人,ctr
壁,n
事件,n
お金,n
古い,adj-i
獣,n
背中,n
真実,n adj-no adj-na
熱い,adj-i
予想,n vs vt adj-no
通う,v5u vi
邪魔,n adj-na vs vt
頷く,v5k vi
苦労,n vs
従う,v5u vi
悔しい,adj-i
主,suf
いらっしゃる,v5aru vi
重い,adj-i
受ける,v1 vt
他,n
飛び出す,v5s vi
言い訳,n vs vt vi
愛,n n-suf
映る,v5r vi
来月,n adv
構う,v5u
間に合う,v5u vi
以上,n-suf
五つ,num
笑い,n
袋,n
忙しい,adj-i
後悔,n vs vt vi adj-no
騒ぐ,v5g vi
空く,v5k vi
記憶,n vs vt
今更,adv
突っ込む,v5m vt
記録,n vs vt
感心,n vs vi
息子,n
破壊,n vs vt vi
白,n
景色,n
触る,v5r vi vt
取り出す,v5s vt
七,num
恋人,n
生む,v5m vt
天,n
無駄,n adj-na
買い物,n vs vi
明日,n adv
あれ,int
負ける,v1 vi
首,ctr
額,n
迎える,v1 vt
確かめる,v1 vt
山,suf
物語,n
重ねる,v1 vt
裏,suf
速度,n
秘密,n adj-na adj-no
美しい,adj-i
眺める,v1 vt
やって来る,exp vk
せめて,adv
仮に,adv
場所,n
勉強,n vs vt
お兄さん,n
歩く,v5k vi
男,n n-suf ctr
情報,n
兄,n-suf
無理,adj-na n
驚く,v5k vi
実際,n adj-no
直す,v5s vt
元,n
親,n
人物,n
疲れる,v1 vi
受け取る,v5r vt
あの,int
説明,n vs vt
持つ,v5t vt
許可,n vs vt
与える,v1 vt
じゃ,cop
守る,v5r vt
彼女,pn
では,conj
最近,n adj-no adv
多い,adj-i
迷う,v5u vi
伝わる,v5r vi
始める,v1 vt
回,ctr
受け入れる,v1 vt
上,n
腰,ctr
犬,n
付ける,v1 vt
完全,adj-na adj-no n
食事,n vs vi
道,n
奴,suf
ちゃん,suf
望む,v5m vt
付き合う,v5u vi
話,n
似合う,v5u vi
開始,n vs vt vi
九,num
用,n
声,n
一方,n
船,n
組織,n vs
愛する,vs-s vt
文句,n
隠す,v5s vt
炎,n
祈る,v5r vt
焦る,v5r vi
浮かぶ,v5b vi
着く,v5k vi
調べる,v1 vt
部屋,n
客,n
言葉,n
想像,n vs vt
幼い,adj-i
抱く,v5k vt
含める,v1 vt
私,pn
早速,adv
歌,n
顔,n
名,n
もう一度,exp
怪しい,adj-i
足音,n
迷惑,n adj-na
意識,n vs
別れる,v1 vi
嬉しい,adj-i
小さい,adj-i
偶然,n adj-na adj-no
八つ,num
主,pn
平和,n
口,n
鳥,n
育つ,v5t vi
不可能,adj-na n
入る,v5r vi
苦しい,adj-i
度,n n-suf ctr
階段,n
息,n
関係,n vs vi
戦う,v5u vi
作る,v5r vt
手,n
潰す,v5s vt
立ち上がる,v5r vi
掛ける,v1 vt
白い,adj-i
予感,n
授業,n vs vi
殴る,v5r vt
最悪,adj-na adj-no n
去る,v5r vi
制服,n
売る,v5r vt
動く,v5k vi
たった,adj-f adv
振り返る,v5r vi vt
七つ,num
戦闘,n vs vi
加える,v1 vt
成功,n vs vi
服,n
戦い,n
笑う,v5u vi
組,n n-suf
好き,suf
態度,n
一番,n adj-no
状況,n
下手,adj-na n
本当に,adv
大事,n
罪,suf
余り,n adj-no
きちんと,adv vs
広い,adj-i
正体,n
王子,n
今まで,adv
出会う,v5u vi
汗,n
恐らく,adv
際,n n-suf
間違える,v1 vt
力,n
足元,n adj-no
覚える,v1 vt
ぶつかる,v5r vi
案内,n vs vt
すっかり,adv adv-to
濡れる,v1 vi
一,adv
怪我,n vs
内容,n
どうやら,adv
握る,v5r vt
先に,adv
仲良く,adv
彼,pn
きつい,adj-i
原因,n vs vi
下がる,v5r vi
量,n n-suf
範囲,n
後,n adj-no
立場,n
飛ばす,v5s vt
形,n
長い,adj-i
遠く,n adv adj-no
危ない,adj-i
はい,int
全く,adv adj-no
反対,n vs vi adj-no adj-na
お願い,n vs vt
感じ,n
白,pref
影響,n vs vi
起きる,v1 vi
本来,adv n adj-no
開ける,v1 vt
火曜日,n adv
月,n
安心,n
学校,n
何で,adv
病院,n
希望,n vs vt
安全,n adj-na
地獄,n
私たち,pn
大人,n adj-no adj-na
借りる,v1 vt
行動,n vs vi adj-no
払う,v5u vt
悪魔,n
裏切る,v5r vt
心配,n vs vt adj-na
訓練,n vs vt
用意,n vs vt
娘,n
神,n-pref
一部,n adv
対象,n adj-no
傷,n
察する,vs-s vt
焼く,v5k vt
提案,n vs vt
降りる,v1 vi
方,suf
証拠,n
隙間,n
耐える,v1 vi vt
全体,n adj-no adv
海,n
張る,suf v5r
特殊,adj-na adj-no n
向ける,v1 vt
冗談,n
森,n
上,n pref
壊れる,v1 vi
刺激,n vs vt
第一,adj-no n
付く,suf v5k
細い,adj-i
どうも,int
本,n
部下,n
昨日,n adv
お姉さん,n
テレビ,n
漏らす,v5s vt
寝る,v1 vi
日,suf
床,ctr
報告,n vs vt
何だか,adv
向こう,n
到着,n vs vi
人形,n
知り合い,n
必要,adj-na
離す,v5s vt
移動,n vs vt vi
一言,n vs vt vi
中央,n adj-no
音,n n-suf
連れて行く,v5k-s vt
買う,v5u vt
敵,n
勝負,n
担当,n vs vt
遅れる,v1 vi
美人,n
素晴らしい,adj-i
確認,n vs vt
並べる,v1 vt
胸,n
俺,pn
姉,n
両親,n
影,n
抵抗,n vs vi
防ぐ,v5g vt
実に,adv
沢山,suf
示す,v5s vt
伸ばす,v5s vt
炎,suf
証明,n vs vt
次,pref
奥,n
貸す,v5s vt
朝,n n-suf
全員,n adv
絵,n
存在,n vs vi
判断,n vs vt
体,n n-suf
前,n
鼻,n
鬼,n
分,n n-suf
友人,n
思い出,n
軽い,adj-i
これ,int
半分,n
油断,n vs vi
思う,v5u vt
耳,n
常に,adv
撃つ,v5t vt
目指す,v5s vt
立つ,v5t vi
吐く,v5k vt
既に,adv
泣く,v5k vi
描く,v5k vt
消す,v5s vt
面,n-suf
事情,n
張る,v5r vt
適当,adj-na n
必死,adj-na adj-no
時には,exp adv
毎日,n adv
事故,n
安心,n adj-na vs vi
落とす,v5s vt
姿,n
謝る,v5r vt
その内,exp adv
飛ぶ,v5b vi
楽,n
紙,n
短い,adj-i
真っ直ぐ,adj-na adv n
応援,n vs vt
過ごす,v5s vt
答える,v1 vi
島,n
要る,v5r vi
任せる,v1 vt
使う,v5u vt
青い,adj-i
進める,v1 vt
同じ,adj-f adj-na
振る,v5r vt
本当,n adj-no adj-na
冷たい,adj-i
人生,n
満たす,v5s vt
成長,n vs vi
生きる,v1 vi
